,invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
3292,I112443,C132162,Books,4,60.6,16-01-2021,Mall of Istanbul
3293,I183898,C286293,Cosmetics,4,162.64,22-04-2021,Kanyon
3294,I335234,C791616,Books,2,30.3,16-03-2021,Cevahir AVM
3295,I253832,C791658,Toys,3,107.52,06-10-2021,Kanyon
3296,I275142,C309832,Technology,2,2100.0,20-01-2022,Zorlu Center
3297,I298037,C250471,Clothing,5,1500.4,30-11-2022,Metrocity
3298,I188855,C737472,Technology,3,3150.0,02-08-2022,Cevahir AVM
3299,I139947,C287029,Souvenir,1,11.73,24-03-2021,Metrocity
3300,I262542,C130034,Shoes,2,1200.34,21-05-2022,Metropol AVM
3301,I299227,C140854,Clothing,4,1200.32,16-01-2021,Mall of Istanbul
3302,I202345,C267007,Cosmetics,3,121.98,17-09-2022,Zorlu Center
3303,I214951,C244815,Toys,3,107.52,22-09-2021,Viaport Outlet
3304,I753687,C266699,Books,1,15.15,08-05-2022,Istinye Park
3305,I753009,C194283,Food & Beverage,5,26.15,03-04-2021,Metropol AVM
3306,I324609,C218187,Shoes,4,2400.68,26-12-2021,Kanyon
3307,I261811,C162001,Toys,2,71.68,21-02-2022,Viaport Outlet
3308,I262341,C158981,Clothing,4,1200.32,04-02-2023,Metrocity
3309,I832317,C295079,Food & Beverage,5,26.15,20-04-2022,Viaport Outlet
3310,I293709,C163820,Clothing,1,300.08,10-09-2021,Istinye Park
3311,I192619,C925173,Clothing,1,300.08,16-11-2022,Kanyon
3312,I320617,C199282,Toys,2,71.68,21-03-2021,Metropol AVM
3313,I125963,C138689,Clothing,5,1500.4,03-10-2021,Mall of Istanbul
3314,I338407,C149392,Cosmetics,3,121.98,15-01-2023,Emaar Square Mall
3315,I604337,C339271,Toys,2,71.68,07-12-2022,Mall of Istanbul
3316,I328737,C314798,Clothing,3,900.24,19-01-2023,Viaport Outlet
3317,I544382,C836040,Clothing,4,1200.32,18-01-2021,Metrocity
3318,I876594,C197040,Clothing,1,300.08,17-01-2023,Zorlu Center
3319,I338238,C331096,Shoes,5,3000.85,16-02-2023,Metropol AVM
3320,I305102,C626142,Technology,5,5250.0,15-04-2021,Mall of Istanbul
3321,I274020,C867734,Clothing,1,300.08,05-07-2022,Kanyon
3322,I256485,C665638,Clothing,4,1200.32,09-12-2021,Viaport Outlet
3323,I256916,C115638,Shoes,5,3000.85,03-08-2022,Kanyon
3324,I198006,C151268,Clothing,3,900.24,23-08-2021,Istinye Park
3325,I251526,C255807,Clothing,2,600.16,04-05-2022,Forum Istanbul
3326,I167327,C237804,Clothing,3,900.24,13-09-2022,Metrocity
3327,I882940,C275102,Toys,3,107.52,08-07-2022,Zorlu Center
3328,I118248,C149161,Food & Beverage,3,15.69,09-07-2021,Mall of Istanbul
3329,I107984,C326467,Shoes,5,3000.85,20-09-2021,Istinye Park
3330,I797528,C195224,Cosmetics,2,81.32,15-06-2021,Metrocity
3331,I921349,C322855,Toys,5,179.2,01-01-2022,Metrocity
3332,I318056,C937470,Food & Beverage,4,20.92,21-03-2021,Zorlu Center
3333,I121484,C383440,Shoes,4,2400.68,21-02-2023,Mall of Istanbul
3334,I134241,C184180,Clothing,3,900.24,01-08-2022,Metrocity
3335,I232081,C207349,Food & Beverage,1,5.23,03-05-2022,Metropol AVM
3336,I125124,C266374,Clothing,3,900.24,10-10-2021,Viaport Outlet
3337,I306742,C208250,Food & Beverage,1,5.23,29-05-2022,Mall of Istanbul
3338,I213514,C121944,Clothing,4,1200.32,02-10-2022,Metrocity
3339,I242864,C164261,Books,1,15.15,02-07-2022,Mall of Istanbul
3340,I258945,C239069,Clothing,5,1500.4,21-01-2023,Mall of Istanbul
3341,I180262,C331037,Cosmetics,1,40.66,11-01-2022,Kanyon
3342,I295836,C146173,Souvenir,4,46.92,20-02-2021,Kanyon
3343,I278368,C337377,Food & Beverage,1,5.23,02-04-2022,Mall of Istanbul
3344,I142196,C193795,Clothing,4,1200.32,06-02-2021,Zorlu Center
3345,I107109,C123490,Food & Beverage,1,5.23,03-01-2022,Metrocity
3346,I558827,C302790,Souvenir,4,46.92,03-08-2022,Viaport Outlet
3347,I676075,C114602,Clothing,3,900.24,28-02-2022,Metropol AVM
3348,I266158,C908588,Clothing,5,1500.4,06-01-2023,Forum Istanbul
3349,I280250,C454329,Clothing,4,1200.32,02-12-2022,Zorlu Center
3350,I117803,C493121,Food & Beverage,2,10.46,06-11-2022,Zorlu Center
3351,I920609,C112531,Clothing,3,900.24,23-03-2021,Mall of Istanbul
3352,I297665,C126971,Shoes,3,1800.51,04-02-2022,Metropol AVM
3353,I441569,C107302,Food & Beverage,5,26.15,19-12-2022,Kanyon
3354,I218375,C130347,Cosmetics,2,81.32,19-12-2022,Kanyon
3355,I313110,C138718,Shoes,3,1800.51,20-10-2021,Zorlu Center
3356,I209706,C271806,Toys,1,35.84,03-01-2021,Metrocity
3357,I192285,C199612,Clothing,3,900.24,01-07-2022,Cevahir AVM
3358,I145091,C232321,Food & Beverage,1,5.23,10-08-2022,Mall of Istanbul
3359,I877775,C267677,Shoes,2,1200.34,28-04-2022,Metropol AVM
3360,I268629,C276507,Clothing,1,300.08,21-08-2021,Mall of Istanbul
3361,I814638,C117338,Cosmetics,2,81.32,18-07-2022,Metrocity
3362,I293755,C221233,Toys,5,179.2,21-05-2021,Istinye Park
3363,I321529,C204703,Books,2,30.3,29-11-2022,Istinye Park
3364,I229027,C252447,Cosmetics,4,162.64,03-08-2021,Zorlu Center
3365,I300689,C259823,Clothing,3,900.24,15-05-2021,Istinye Park
3366,I226193,C302332,Cosmetics,3,121.98,09-02-2022,Metropol AVM
3367,I225758,C166782,Cosmetics,3,121.98,18-08-2021,Kanyon
3368,I255404,C482851,Technology,2,2100.0,05-05-2021,Mall of Istanbul
3369,I659463,C562397,Clothing,2,600.16,04-06-2022,Istinye Park
3370,I126551,C146355,Clothing,5,1500.4,24-06-2022,Mall of Istanbul
3371,I182152,C527849,Food & Beverage,2,10.46,07-02-2023,Mall of Istanbul
3372,I252747,C696719,Food & Beverage,5,26.15,12-03-2021,Kanyon
3373,I333651,C149139,Clothing,1,300.08,17-09-2022,Istinye Park
3374,I664233,C142952,Shoes,5,3000.85,21-02-2022,Mall of Istanbul
3375,I279761,C247150,Technology,4,4200.0,27-02-2023,Mall of Istanbul
3376,I116380,C279664,Clothing,4,1200.32,15-06-2022,Kanyon
3377,I538953,C267240,Food & Beverage,3,15.69,25-04-2022,Cevahir AVM
3378,I278283,C299038,Clothing,2,600.16,04-01-2022,Kanyon
3379,I286656,C335089,Cosmetics,4,162.64,16-01-2023,Mall of Istanbul
3380,I209629,C170853,Clothing,5,1500.4,20-11-2022,Metrocity
3381,I304944,C234683,Clothing,4,1200.32,15-07-2022,Kanyon
3382,I232017,C330151,Clothing,3,900.24,03-11-2022,Istinye Park
3383,I240299,C898848,Food & Beverage,5,26.15,17-07-2022,Metrocity
3384,I316611,C225135,Clothing,4,1200.32,04-08-2022,Mall of Istanbul
3385,I179171,C257799,Food & Beverage,2,10.46,04-06-2021,Metropol AVM
3386,I604905,C221921,Shoes,3,1800.51,04-09-2022,Metrocity
3387,I895371,C319249,Toys,4,143.36,28-11-2022,Kanyon
3388,I214331,C157328,Clothing,4,1200.32,07-07-2021,Metrocity
3389,I329781,C145169,Shoes,2,1200.34,17-04-2021,Metropol AVM
3390,I382367,C188572,Toys,5,179.2,17-07-2022,Kanyon
3391,I938973,C280712,Clothing,5,1500.4,01-10-2021,Mall of Istanbul
3392,I103382,C178576,Clothing,2,600.16,04-05-2021,Metrocity
3393,I227463,C111646,Cosmetics,1,40.66,10-06-2022,Metropol AVM
3394,I161871,C194311,Clothing,1,300.08,10-02-2022,Mall of Istanbul
3395,I701568,C184782,Souvenir,2,23.46,24-04-2022,Emaar Square Mall
3396,I299894,C104800,Cosmetics,5,203.3,27-06-2021,Zorlu Center
3397,I177292,C702086,Clothing,4,1200.32,22-01-2022,Emaar Square Mall
3398,I516452,C326496,Cosmetics,4,162.64,23-10-2022,Metrocity
3399,I193684,C220689,Food & Beverage,1,5.23,12-05-2022,Mall of Istanbul
3400,I182495,C256829,Shoes,2,1200.34,23-04-2022,Emaar Square Mall
3401,I101152,C276049,Clothing,3,900.24,12-11-2021,Kanyon
3402,I258827,C203551,Technology,5,5250.0,28-12-2022,Metrocity
3403,I191633,C241196,Toys,4,143.36,22-05-2022,Kanyon
3404,I326812,C337573,Cosmetics,2,81.32,24-10-2021,Forum Istanbul
3405,I122009,C825403,Books,3,45.45,18-03-2021,Kanyon
3406,I195226,C188218,Clothing,1,300.08,24-08-2021,Emaar Square Mall
3407,I181683,C249617,Shoes,3,1800.51,17-08-2021,Mall of Istanbul
3408,I132843,C289934,Cosmetics,4,162.64,07-06-2021,Forum Istanbul
3409,I629119,C170583,Clothing,5,1500.4,14-05-2021,Metropol AVM
3410,I173337,C295485,Clothing,3,900.24,24-08-2021,Mall of Istanbul
3411,I467163,C198004,Toys,2,71.68,14-07-2021,Kanyon
3412,I283037,C174010,Books,4,60.6,21-05-2021,Forum Istanbul
3413,I219272,C508692,Clothing,1,300.08,30-10-2022,Metrocity
3414,I215094,C300779,Food & Beverage,4,20.92,16-01-2023,Metrocity
3415,I156131,C397510,Food & Beverage,3,15.69,10-11-2022,Metrocity
3416,I162614,C813653,Shoes,5,3000.85,22-03-2021,Zorlu Center
3417,I221816,C239200,Technology,4,4200.0,28-12-2022,Metrocity
3418,I301455,C138219,Cosmetics,5,203.3,14-10-2022,Cevahir AVM
3419,I333684,C238297,Toys,2,71.68,21-07-2021,Zorlu Center
3420,I155691,C119916,Toys,5,179.2,26-11-2021,Metropol AVM
3421,I229172,C105780,Clothing,1,300.08,14-06-2022,Istinye Park
3422,I182240,C854603,Clothing,5,1500.4,24-03-2022,Zorlu Center
3423,I281916,C253733,Shoes,4,2400.68,02-04-2022,Metrocity
3424,I285618,C271492,Clothing,4,1200.32,13-01-2021,Kanyon
3425,I379956,C327199,Clothing,5,1500.4,22-03-2021,Kanyon
3426,I893857,C125881,Clothing,3,900.24,02-09-2022,Istinye Park
3427,I320334,C112860,Cosmetics,5,203.3,31-03-2022,Mall of Istanbul
3428,I124614,C129025,Clothing,2,600.16,29-08-2021,Mall of Istanbul
3429,I146509,C766947,Cosmetics,2,81.32,12-01-2022,Mall of Istanbul
3430,I205100,C619492,Clothing,3,900.24,08-10-2022,Metrocity
3431,I114943,C534897,Books,4,60.6,01-05-2022,Metrocity
3432,I174781,C601719,Cosmetics,5,203.3,19-12-2022,Kanyon
3433,I871521,C282616,Shoes,4,2400.68,15-06-2022,Mall of Istanbul
3434,I281848,C275423,Cosmetics,5,203.3,30-09-2022,Istinye Park
3435,I105642,C194681,Food & Beverage,1,5.23,26-05-2022,Mall of Istanbul
3436,I713117,C967744,Shoes,3,1800.51,30-08-2022,Kanyon
3437,I158977,C722181,Books,4,60.6,24-06-2022,Metropol AVM
3438,I294793,C258816,Cosmetics,5,203.3,06-09-2022,Kanyon
3439,I339024,C764189,Clothing,4,1200.32,24-06-2021,Viaport Outlet
3440,I183304,C330674,Clothing,5,1500.4,22-01-2023,Metrocity
3441,I173875,C730353,Toys,5,179.2,16-08-2021,Mall of Istanbul
3442,I136997,C999000,Food & Beverage,1,5.23,03-01-2021,Viaport Outlet
3443,I329147,C375545,Clothing,4,1200.32,10-10-2022,Metrocity
3444,I285089,C223235,Shoes,5,3000.85,28-04-2021,Viaport Outlet
3445,I127988,C671764,Books,2,30.3,19-06-2021,Istinye Park
3446,I309920,C366817,Clothing,3,900.24,28-06-2021,Mall of Istanbul
3447,I121437,C331554,Clothing,2,600.16,11-11-2022,Istinye Park
3448,I327088,C855626,Clothing,5,1500.4,06-05-2021,Forum Istanbul
3449,I260807,C250159,Clothing,2,600.16,04-02-2023,Zorlu Center
3450,I450963,C186710,Clothing,2,600.16,24-06-2021,Mall of Istanbul
3451,I333921,C288418,Toys,2,71.68,17-02-2021,Kanyon
3452,I141384,C551340,Technology,4,4200.0,25-08-2022,Kanyon
3453,I139491,C261368,Food & Beverage,5,26.15,07-05-2021,Metrocity
3454,I220586,C334490,Cosmetics,5,203.3,14-03-2021,Metrocity
3455,I235009,C884426,Cosmetics,3,121.98,26-04-2022,Cevahir AVM
3456,I236473,C263782,Food & Beverage,1,5.23,15-10-2021,Cevahir AVM
3457,I139747,C198818,Food & Beverage,4,20.92,13-10-2022,Kanyon
3458,I139823,C262377,Technology,2,2100.0,28-04-2021,Kanyon
3459,I334774,C213864,Clothing,4,1200.32,05-12-2022,Zorlu Center
3460,I909187,C389908,Books,3,45.45,25-09-2022,Istinye Park
3461,I289040,C230701,Books,3,45.45,23-11-2021,Istinye Park
3462,I687305,C162539,Clothing,4,1200.32,13-02-2022,Istinye Park
3463,I282572,C254212,Clothing,2,600.16,03-12-2022,Metropol AVM
3464,I234915,C757369,Clothing,3,900.24,09-04-2022,Mall of Istanbul
3465,I746340,C143536,Food & Beverage,4,20.92,11-08-2021,Kanyon
3466,I225753,C132636,Shoes,3,1800.51,07-04-2022,Emaar Square Mall
3467,I134817,C230747,Clothing,5,1500.4,23-01-2021,Kanyon
3468,I183740,C196211,Souvenir,1,11.73,10-05-2021,Mall of Istanbul
3469,I192701,C254758,Clothing,1,300.08,31-08-2022,Emaar Square Mall
3470,I180843,C267691,Food & Beverage,2,10.46,27-06-2022,Emaar Square Mall
3471,I117765,C205930,Toys,3,107.52,22-03-2022,Mall of Istanbul
3472,I111460,C245823,Toys,3,107.52,23-11-2022,Metrocity
3473,I329481,C324329,Cosmetics,5,203.3,20-12-2022,Istinye Park
3474,I270112,C277177,Cosmetics,2,81.32,12-01-2022,Metropol AVM
3475,I252070,C921524,Cosmetics,5,203.3,12-06-2022,Zorlu Center
3476,I112826,C187778,Books,5,75.75,12-11-2022,Mall of Istanbul
3477,I877397,C272756,Shoes,5,3000.85,09-10-2022,Kanyon
3478,I742423,C167718,Clothing,1,300.08,29-06-2022,Kanyon
3479,I323577,C155648,Clothing,3,900.24,06-02-2022,Kanyon
3480,I272403,C316856,Clothing,3,900.24,08-06-2021,Forum Istanbul
3481,I279124,C220262,Clothing,2,600.16,24-03-2022,Istinye Park
3482,I140651,C323981,Clothing,2,600.16,03-01-2021,Metropol AVM
3483,I286200,C201284,Shoes,4,2400.68,31-07-2021,Zorlu Center
3484,I450781,C889376,Clothing,2,600.16,10-03-2022,Mall of Istanbul
3485,I290014,C189714,Clothing,2,600.16,15-11-2021,Mall of Istanbul
3486,I171193,C808936,Books,2,30.3,26-02-2022,Zorlu Center
3487,I296059,C293126,Toys,3,107.52,30-01-2023,Viaport Outlet
3488,I125368,C630501,Cosmetics,2,81.32,22-02-2023,Mall of Istanbul
3489,I222290,C260909,Clothing,1,300.08,27-10-2022,Metrocity
3490,I314617,C310316,Cosmetics,4,162.64,13-03-2021,Emaar Square Mall
3491,I293954,C168091,Clothing,5,1500.4,31-12-2022,Kanyon
3492,I240970,C586610,Food & Beverage,2,10.46,14-04-2022,Zorlu Center
3493,I249025,C272315,Books,2,30.3,06-04-2022,Kanyon
3494,I230075,C217879,Food & Beverage,4,20.92,18-03-2021,Istinye Park
3495,I109432,C197067,Clothing,3,900.24,19-11-2021,Viaport Outlet
3496,I217840,C356121,Shoes,5,3000.85,16-02-2022,Viaport Outlet
3497,I329083,C194754,Cosmetics,1,40.66,16-02-2023,Kanyon
3498,I150306,C232655,Cosmetics,4,162.64,29-09-2021,Metropol AVM
3499,I838650,C188700,Shoes,4,2400.68,23-12-2022,Cevahir AVM
3500,I236128,C147380,Food & Beverage,5,26.15,12-12-2022,Metropol AVM
3501,I414748,C270649,Toys,5,179.2,23-02-2023,Metropol AVM
3502,I264690,C284233,Clothing,5,1500.4,09-06-2022,Metrocity
3503,I134195,C312025,Technology,2,2100.0,02-01-2023,Mall of Istanbul
3504,I139696,C288010,Food & Beverage,4,20.92,12-12-2022,Kanyon
3505,I187393,C570244,Clothing,1,300.08,24-08-2022,Metrocity
3506,I236741,C226870,Clothing,4,1200.32,31-05-2022,Emaar Square Mall
3507,I251982,C286480,Shoes,5,3000.85,13-11-2022,Kanyon
3508,I167547,C786171,Clothing,4,1200.32,05-02-2021,Cevahir AVM
3509,I168251,C141536,Cosmetics,4,162.64,19-07-2021,Mall of Istanbul
3510,I192041,C328695,Clothing,5,1500.4,14-07-2021,Metrocity
3511,I155847,C603796,Shoes,3,1800.51,01-01-2022,Mall of Istanbul
3512,I133545,C931477,Shoes,3,1800.51,17-02-2022,Metropol AVM
3513,I276926,C139415,Clothing,1,300.08,11-12-2021,Mall of Istanbul
3514,I123554,C273246,Clothing,2,600.16,25-10-2021,Mall of Istanbul
3515,I310227,C292359,Clothing,3,900.24,06-01-2021,Istinye Park
3516,I150515,C178562,Food & Beverage,4,20.92,09-12-2021,Metropol AVM
3517,I317215,C328477,Food & Beverage,4,20.92,14-04-2021,Cevahir AVM
3518,I115517,C326000,Clothing,2,600.16,20-08-2022,Kanyon
3519,I253999,C746320,Food & Beverage,2,10.46,27-05-2021,Kanyon
3520,I151222,C711400,Clothing,3,900.24,22-02-2021,Metrocity
3521,I317199,C281041,Shoes,5,3000.85,20-10-2021,Kanyon
3522,I202780,C127363,Food & Beverage,4,20.92,26-09-2021,Mall of Istanbul
3523,I163948,C409283,Shoes,1,600.17,02-01-2022,Metropol AVM
3524,I128975,C148819,Cosmetics,3,121.98,28-04-2022,Kanyon
3525,I239492,C244362,Shoes,2,1200.34,13-03-2022,Zorlu Center
3526,I347544,C293679,Cosmetics,2,81.32,14-08-2021,Istinye Park
3527,I167881,C319969,Souvenir,4,46.92,10-06-2021,Metrocity
3528,I288980,C260873,Technology,4,4200.0,29-08-2022,Mall of Istanbul
3529,I381979,C107927,Books,1,15.15,01-07-2022,Mall of Istanbul
3530,I121803,C136970,Technology,1,1050.0,28-01-2021,Istinye Park
3531,I313091,C135108,Food & Beverage,4,20.92,15-03-2022,Metrocity
3532,I910012,C330392,Toys,2,71.68,06-01-2023,Viaport Outlet
3533,I838107,C165592,Food & Beverage,4,20.92,11-09-2022,Metropol AVM
3534,I677693,C179667,Cosmetics,3,121.98,27-09-2022,Metropol AVM
3535,I275004,C143243,Toys,4,143.36,12-09-2022,Metrocity
3536,I275614,C172461,Toys,2,71.68,20-04-2022,Metropol AVM
3537,I226279,C281636,Toys,2,71.68,19-12-2022,Forum Istanbul
3538,I138888,C146328,Shoes,2,1200.34,25-09-2022,Cevahir AVM
3539,I303176,C313764,Toys,2,71.68,09-12-2021,Mall of Istanbul
3540,I128927,C268860,Technology,1,1050.0,12-11-2021,Metrocity
3541,I288283,C161076,Clothing,1,300.08,16-01-2021,Mall of Istanbul
3542,I100312,C280934,Food & Beverage,2,10.46,29-10-2022,Emaar Square Mall
3543,I290089,C756804,Souvenir,2,23.46,17-07-2022,Mall of Istanbul
3544,I601974,C331122,Technology,3,3150.0,23-10-2022,Metropol AVM
3545,I245213,C253446,Clothing,5,1500.4,27-01-2022,Mall of Istanbul
3546,I193971,C179811,Souvenir,1,11.73,20-12-2022,Metrocity
3547,I154114,C266591,Shoes,1,600.17,01-11-2022,Mall of Istanbul
3548,I243559,C152238,Shoes,1,600.17,10-06-2021,Forum Istanbul
3549,I196478,C281816,Cosmetics,5,203.3,16-12-2021,Mall of Istanbul
3550,I313811,C268673,Food & Beverage,2,10.46,26-09-2022,Istinye Park
3551,I215669,C148691,Food & Beverage,2,10.46,11-09-2022,Mall of Istanbul
3552,I228173,C202113,Clothing,2,600.16,04-09-2022,Kanyon
3553,I192819,C322763,Food & Beverage,1,5.23,06-01-2021,Forum Istanbul
3554,I194375,C686916,Clothing,5,1500.4,04-08-2021,Cevahir AVM
3555,I308299,C375449,Cosmetics,2,81.32,12-09-2022,Metropol AVM
3556,I654750,C299866,Cosmetics,5,203.3,22-12-2022,Metropol AVM
3557,I306989,C136539,Food & Beverage,5,26.15,06-11-2021,Kanyon
3558,I149862,C251927,Food & Beverage,4,20.92,24-03-2022,Zorlu Center
3559,I231156,C317874,Food & Beverage,5,26.15,26-07-2022,Kanyon
3560,I239495,C176334,Clothing,2,600.16,09-08-2022,Metropol AVM
3561,I235944,C107501,Souvenir,3,35.19,23-04-2022,Cevahir AVM
3562,I109457,C194341,Clothing,2,600.16,13-05-2022,Metrocity
3563,I475155,C147342,Food & Beverage,1,5.23,20-07-2021,Emaar Square Mall
3564,I229176,C320741,Clothing,3,900.24,18-08-2022,Kanyon
3565,I821146,C201660,Cosmetics,2,81.32,18-06-2022,Metropol AVM
3566,I329493,C282604,Cosmetics,3,121.98,06-05-2022,Kanyon
3567,I266072,C287549,Toys,3,107.52,15-09-2021,Metropol AVM
3568,I227931,C481041,Cosmetics,4,162.64,19-05-2021,Mall of Istanbul
3569,I138917,C760807,Clothing,2,600.16,07-09-2022,Kanyon
3570,I119613,C167475,Clothing,3,900.24,09-01-2021,Metrocity
3571,I307334,C315938,Toys,1,35.84,21-11-2022,Kanyon
3572,I186700,C827984,Cosmetics,2,81.32,25-07-2022,Mall of Istanbul
3573,I796504,C572982,Cosmetics,1,40.66,22-05-2021,Emaar Square Mall
3574,I108009,C262733,Cosmetics,4,162.64,22-04-2021,Kanyon
3575,I285599,C348227,Clothing,1,300.08,20-05-2021,Kanyon
3576,I278742,C250670,Clothing,5,1500.4,03-01-2021,Zorlu Center
3577,I599432,C432705,Food & Beverage,3,15.69,05-05-2022,Metrocity
3578,I294644,C306755,Clothing,5,1500.4,12-10-2022,Forum Istanbul
3579,I289886,C201776,Food & Beverage,5,26.15,08-10-2022,Forum Istanbul
3580,I302989,C318512,Cosmetics,4,162.64,24-10-2021,Mall of Istanbul
3581,I151932,C122932,Clothing,5,1500.4,22-01-2021,Kanyon
3582,I218602,C235745,Food & Beverage,1,5.23,18-02-2022,Mall of Istanbul
3583,I705586,C396914,Clothing,5,1500.4,05-07-2022,Metrocity
3584,I237671,C279326,Clothing,5,1500.4,08-01-2023,Forum Istanbul
3585,I142468,C259929,Food & Beverage,2,10.46,22-03-2022,Metrocity
3586,I223205,C189330,Technology,5,5250.0,28-11-2022,Mall of Istanbul
3587,I264508,C204609,Books,1,15.15,11-02-2022,Mall of Istanbul
3588,I210650,C263282,Food & Beverage,5,26.15,11-02-2022,Mall of Istanbul
3589,I186443,C505710,Clothing,5,1500.4,15-03-2022,Kanyon
3590,I771921,C146493,Food & Beverage,5,26.15,08-02-2022,Kanyon
3591,I334994,C218136,Toys,1,35.84,23-02-2023,Istinye Park
3592,I517258,C250863,Clothing,3,900.24,12-05-2022,Metropol AVM
3593,I302355,C144169,Shoes,5,3000.85,01-11-2021,Istinye Park
3594,I234812,C154575,Toys,4,143.36,05-04-2021,Kanyon
3595,I321706,C195302,Books,5,75.75,22-01-2021,Forum Istanbul
3596,I324853,C188497,Clothing,5,1500.4,25-09-2022,Istinye Park
3597,I281903,C188658,Toys,4,143.36,16-02-2022,Kanyon
3598,I831834,C211185,Toys,1,35.84,25-11-2021,Mall of Istanbul
3599,I765914,C250256,Clothing,1,300.08,03-09-2021,Cevahir AVM
3600,I152944,C910436,Cosmetics,3,121.98,11-05-2022,Metrocity
3601,I335339,C154982,Food & Beverage,3,15.69,25-05-2021,Emaar Square Mall
3602,I333966,C365857,Clothing,3,900.24,14-11-2022,Viaport Outlet
3603,I261543,C153795,Toys,4,143.36,07-09-2021,Istinye Park
3604,I142134,C393686,Cosmetics,2,81.32,03-01-2022,Istinye Park
3605,I187459,C238097,Books,4,60.6,07-02-2022,Metrocity
3606,I281349,C202511,Technology,4,4200.0,19-04-2021,Metropol AVM
3607,I327173,C149528,Cosmetics,5,203.3,23-01-2022,Mall of Istanbul
3608,I812173,C193996,Toys,1,35.84,08-05-2021,Cevahir AVM
3609,I127982,C254460,Food & Beverage,5,26.15,28-04-2021,Metrocity
3610,I816678,C223000,Shoes,2,1200.34,04-11-2022,Kanyon
3611,I210509,C278438,Clothing,1,300.08,12-07-2021,Emaar Square Mall
3612,I433335,C820440,Shoes,3,1800.51,05-06-2021,Forum Istanbul
3613,I263686,C213611,Food & Beverage,1,5.23,01-08-2021,Viaport Outlet
3614,I928630,C258095,Food & Beverage,3,15.69,15-12-2021,Cevahir AVM
3615,I277150,C128659,Clothing,5,1500.4,08-03-2022,Metrocity
3616,I310687,C574478,Cosmetics,3,121.98,13-11-2021,Metrocity
3617,I220787,C158701,Clothing,5,1500.4,09-02-2022,Mall of Istanbul
3618,I150731,C300587,Food & Beverage,2,10.46,08-09-2021,Kanyon
3619,I328941,C221578,Clothing,4,1200.32,14-10-2021,Metrocity
3620,I178585,C841966,Food & Beverage,5,26.15,10-04-2021,Kanyon
3621,I914792,C283913,Cosmetics,5,203.3,12-01-2023,Metropol AVM
3622,I272319,C992343,Cosmetics,5,203.3,02-03-2023,Cevahir AVM
3623,I312109,C136217,Cosmetics,1,40.66,23-08-2022,Mall of Istanbul
3624,I271539,C361634,Clothing,3,900.24,13-08-2021,Mall of Istanbul
3625,I433905,C209005,Food & Beverage,5,26.15,22-05-2022,Mall of Istanbul
3626,I307159,C290791,Books,5,75.75,26-11-2022,Cevahir AVM
3627,I470990,C302238,Shoes,3,1800.51,03-09-2022,Metropol AVM
3628,I344433,C190462,Technology,1,1050.0,30-06-2021,Kanyon
3629,I275907,C102305,Toys,1,35.84,21-01-2021,Emaar Square Mall
3630,I235098,C924104,Toys,4,143.36,02-03-2021,Mall of Istanbul
3631,I284471,C258999,Shoes,5,3000.85,07-04-2022,Kanyon
3632,I223340,C181157,Clothing,4,1200.32,29-04-2021,Kanyon
3633,I231140,C443594,Clothing,2,600.16,19-05-2022,Kanyon
3634,I175749,C190027,Food & Beverage,4,20.92,31-03-2022,Kanyon
3635,I216676,C312414,Clothing,2,600.16,10-03-2022,Emaar Square Mall
3636,I675538,C252821,Toys,4,143.36,10-07-2021,Istinye Park
3637,I309676,C203882,Toys,1,35.84,19-04-2022,Metrocity
3638,I275659,C327340,Food & Beverage,4,20.92,19-05-2021,Metropol AVM
3639,I236175,C299219,Souvenir,4,46.92,07-07-2021,Istinye Park
3640,I632702,C111703,Food & Beverage,5,26.15,21-02-2023,Metrocity
3641,I168116,C156960,Clothing,2,600.16,17-03-2021,Mall of Istanbul
3642,I150683,C144206,Clothing,4,1200.32,26-05-2022,Istinye Park
3643,I218931,C210642,Clothing,3,900.24,02-08-2021,Kanyon
3644,I170757,C657184,Food & Beverage,2,10.46,07-04-2022,Istinye Park
3645,I562222,C332130,Food & Beverage,5,26.15,14-07-2022,Mall of Istanbul
3646,I168093,C230327,Clothing,4,1200.32,31-10-2021,Metropol AVM
3647,I134517,C183232,Clothing,1,300.08,14-10-2022,Emaar Square Mall
3648,I283387,C736215,Food & Beverage,1,5.23,23-04-2022,Mall of Istanbul
3649,I536684,C994684,Toys,3,107.52,30-05-2022,Metrocity
3650,I293170,C247307,Food & Beverage,5,26.15,07-01-2023,Metropol AVM
3651,I783835,C101451,Clothing,2,600.16,19-11-2022,Metropol AVM
3652,I225956,C364908,Food & Beverage,1,5.23,25-07-2022,Metropol AVM
3653,I336379,C221589,Cosmetics,4,162.64,01-06-2021,Metropol AVM
3654,I198346,C221067,Food & Beverage,1,5.23,14-05-2021,Emaar Square Mall
3655,I908041,C198810,Clothing,1,300.08,10-04-2022,Istinye Park
3656,I229212,C191514,Food & Beverage,5,26.15,22-10-2022,Kanyon
3657,I313558,C305073,Clothing,1,300.08,19-04-2022,Mall of Istanbul
3658,I184153,C270795,Clothing,2,600.16,02-05-2022,Kanyon
3659,I141166,C336247,Cosmetics,3,121.98,13-01-2021,Metropol AVM
3660,I878662,C359322,Books,1,15.15,03-10-2022,Metrocity
3661,I944263,C268585,Technology,5,5250.0,31-01-2022,Kanyon
